asin,Title,rate1,rate2,rate3,rate4,rate5,rating,totalreviews
B0000SX2UC,Dual-Band / Tri-Mode Sprint PCS Phone w/ Voice Activated Dialing & Bright White Backlit Screen,2,1,3,5,3,3,14
B0009N5L7K,Motorola I265 phone,3,0,0,1,3,3,7
B000SKTZ0S,MOTOROLA C168i AT&T CINGULAR PREPAID GOPHONE CELL PHONE,4,0,3,7,8,2.7,22
B001AO4OUC,Motorola i335 Cell Phone Boost Mobile,8,0,0,3,10,3.3,21
B001DCJAJG,Motorola V365 no contract cellular phone AT&T,1,1,3,2,5,3.1,12
B001GQ3DJM,Nokia 1680 Black Phone (T-Mobile),1,0,1,1,0,2.7,3
B0029F2O3A,"Samsung Alias2 U750 Phone, Black (Verizon Wireless)",5,4,7,7,6,3,29
B002AS9WEA,Samsung a167 Prepaid GoPhone (AT&T),4,3,3,2,6,2.9,18
B002UHS0UI,Verizon Wireless Motorola RAZR V3m - Silver,68,17,24,22,76,2.7,208
B002WTC1NG,Motorola Barrage V860 Phone (Verizon Wireless),47,20,30,50,201,3.6,352
B0033SFV5A,Verizon or PagePlus Samsung Smooth U350 Great Condition Blue CDMA Cell Phone,17,2,4,8,25,3.3,57
B003FCO9XE,Samsung Smooth Verizon Wireless Prepaid Mobile Cell Camera Phone CDMA,20,6,7,12,32,2.6,78
B003P2VNAQ,"Samsung Rugby II, Black (AT&T)",22,8,6,9,22,3.6,70
B003W646YK,Motorola i570 Nextel iDen PTT rugged black cell phone,0,2,0,1,0,2.9,3
B003XREZ4O,"Samsung Gusto, Black (Verizon Wireless)",5,7,3,0,1,3.4,16
B0046REOWS,Samsung T201G Prepaid Phone (Net10),6,0,1,6,9,3.6,22
B004C7NVD0,Samsung Convoy SCH-U640 Cell Phone Ruggedized PTT 2+ megapixel Camera for Verizon,16,1,10,19,58,3.2,107
B004GLQTG8,Samsung R355C Net 10 Unlimited,12,5,19,35,75,3.5,146
B004H23JXW,"Samsung Focus I917 Unlocked Phone with Windows 7 OS, 5 MP Camera, and Wi-Fi--No Warranty (Black)",67,26,34,65,157,3.4,349
B004MK9VLS,Nokia C3 Prepaid GoPhone (AT&T) with $30 Airtime Credit,1,1,0,3,2,3,7
B004YBP8EY,Samsung SA-S5260WESP Cellphone - Unlocked Phone - US Warranty - White,3,3,3,3,11,3.1,23
B005B3OXWC,Samsung Freeform III Prepaid Phone (MetroPCS),6,4,2,9,11,3.1,32
B006OU39QW,Verizon Samsung Convoy U660 No Contract Rugged PTT Cell Phone Grey Verizon,28,12,20,46,144,4.1,252
B006VH79R8,Samsung Replenish Prepaid Android Phone (Boost Mobile),14,8,13,17,32,3.7,84
B00727AODC,"Samsung Focus Flash I677 8GB Unlocked GSM Phone with Windows 7.5 OS, 5MP Camera, GPS, Wi-Fi, Bluetooth and FM Radio - Black",22,11,11,21,58,3.1,123
B007LU0HU0,Samsung Replenish SPH-M580 Blue No Contract Sprint Cell Phone,3,3,1,3,0,2.5,10
B007X6FFLS,Samsung a157 GoPhone (AT&T),40,16,35,70,144,3.4,305
B0081TDISI,Motorola Brute i686 Rugged PTT For Sprint,4,0,0,3,3,2.8,10
B00836Y6B2,Nokia Lumia 900 Black Factory Unlocked,206,80,107,133,399,3.2,929
B008PAW5EQ,"Samsung U365 Gusto 2 Prepaid Phone (Verizon Wireless, Prepaid)",16,7,9,8,33,3.7,74
B0096DERAG,Motorola MC75A Hand Held Computer Windows Mobile 6.5 MC75A8-PYFSWQRA9WR,1,0,0,0,0,1,1
B0096QYH80,"Motorola Droid RAZR M XT907 Verizon Wireless, 8GB, White",113,36,39,83,216,3,488
B009LRMQTG,Telcel America Motorola Pre-Paid Cell Phone - Motogo! EX431G - Black,21,12,25,29,109,3.9,196
B00A2V7BA4,"Nokia Lumia 920, Black 32GB (AT&T)",46,15,28,48,331,3.4,468
B00A2V7ULY,"Nokia Lumia 920, Yellow 32GB (AT&T)",4,1,2,4,34,3,45
B00A408AF8,"Samsung Galaxy Express, Gray 8GB (AT&T)",3,0,0,0,5,2.9,8
B00A7F57EM,Nokia Lumia 822 16GB Windows Phone Black - Verizon,11,6,4,10,31,3.4,62
B00A7F5M9W,"Nokia Lumia 822, White 16GB (Verizon Wireless)",3,1,1,2,16,3.6,23
B00ACZ0DUA,Nokia Lumia 920 32GB Unlocked GSM Windows 8 Smartphone w/ Carl Zeiss Optics Camera - Yellow,13,6,10,7,38,3,74
B00B5081MI,"Samsung A157 Unlocked GSM Cell Phone with Internet Browser, 3G Capabilities, SMS & MMS and Speakerphone - Black",18,3,5,9,14,2.4,49
B00BV1MVJ0,"Samsung Galaxy S4 GT-I9500 Factory Unlocked Cellphone, 16GB, White",4,3,0,2,1,3.8,1
B00CEKXJ3Y,"Samsung Galaxy S4, Black Mist 16GB (Sprint)",75,19,38,81,346,3.5,561
B00CEKXZA6,"Samsung Galaxy S4, White Frost 16GB (Sprint)",35,16,15,59,228,3.8,354
B00CGIULGC,Samsung Galaxy Rugby Pro 4G LTE I547 Unlocked Android Ruggedized Smart Phone,69,26,45,62,160,3.2,365
B00CQAODG4,"Nokia Lumia 928, White 32GB (Verizon Wireless)",44,28,24,63,190,3.2,349
B00CS2ZWKQ,Nokia Lumia 925 (RM-893) 4G LTE Windows 8 Smartphone GSM Unlocked,16,6,6,22,42,3.2,94
B00D35Z6OE,Huawei Glory Android Prepaid Phone (Net10),12,1,9,5,9,3.1,36
B00D99ZBR6,Samsung Galaxy Prevail II (Boost Mobile) (Discontinued by Manufacturer),61,21,37,54,139,3.5,314
B00E45043A,Nokia Lumia 520 (AT&T Go Phone) No Annual Contract (Discontinued by Manufacturer),0,0,1,2,7,3.8,4
B00E6FGSHY,"Samsung Galaxy S4, White Frost 16GB (AT&T)",89,36,40,108,366,3.7,641
B00E8TGT1S,Nokia Lumia 520 Quad-Band GSM Unlocked Smartphone - Blue,2,0,0,0,3,2.1,5
B00EP2BN00,"Samsung Convoy 3, Gray (Verizon Wireless)",59,26,28,60,164,3.4,340
B00F1HVZ0Q,Samsung Galaxy S4 M919 16GB T-Mobile 4G LTE Smartphone - Black Mist,18,6,8,12,66,3.7,111
B00F2SKPIM,"Samsung Galaxy Note 3, Black 32GB (Verizon Wireless)",92,35,50,107,697,3.9,983
B00F3JPKCG,"Nokia Lumia 925, Black 16GB (AT&T)",13,6,7,6,12,2.7,46
B00F9RRVUG,Samsung a157V (AT&T Go Phone) No Annual Contract,28,18,34,51,164,3.5,299
B00FTV382C,"SAMSUNG GALAXY NOTE 3 , T-Mobile (locked) white",17,4,5,10,45,3.4,85
